Strain,Nuclear,Mito,Petite,Grande,Petitefrequency,SD_Pheno_30,SD_Pheno_37
RC135,135,X273614N,78,2923,2.599133622,2.990360169,3.068851479
RC136,136,X273614N,17,4408,0.384180791,3.420421733,3.836206368
RC137,137,X273614N,127,4354,2.834188797,3.141620144,3.573646355
RC138,138,X273614N,136,3017,4.313352363,2.339819473,2.468044458
RC139,139,X273614N,57,2024,2.739067756,3.83360731,3.919574875
RC140,140,X273614N,77,3043,2.467948718,3.103739393,2.682659489
RC141,141,X273614N,54,1410,3.68852459,3.569014681,2.973224795
RC142,142,X273614N,70,2371,2.867677181,2.915303225,3.705038182
RC143,143,X273614N,3,1141,0.262237762,3.193900421,3.392395826
RC144,144,X273614N,56,820,6.392694064,2.765604873,3.03172111
RC145,145,X273614N,108,3531,2.96784831,3.225336367,3.371040587
RC146,146,X273614N,196,1101,15.11179645,2.987806767,2.802276889
RC147,147,X273614N,306,3309,8.46473029,3.013225286,2.538576298
RC148,148,X273614N,20,683,2.844950213,4.13692549,5.011836
RC149,149,X273614N,325,2243,12.65576324,2.372655546,2.851688439
RC201,201,X273614N,3,1351,0.221565731,2.947684652,2.561211277
RC202,202,X273614N,127,1151,9.937402191,3.040853631,2.835189176
RC203,203,X273614N,46,1654,2.705882353,2.62878294,1.853113
RC204,204,X273614N,3,1823,0.164293538,3.357615701,2.992108713
RC205,205,X273614N,28,2513,1.101928375,2.869688441,3.183026481
RC206,206,X273614N,246,2092,10.52181352,3.607147371,3.651070936
RC207,207,X273614N,20,3306,0.60132291,2.976540625,3.036522802
RC208,208,X273614N,48,2401,1.959983667,3.402942445,3.287369754
RC209,209,X273614N,46,1530,2.918781726,2.713375685,2.688840236
RC210,210,X273614N,125,1512,7.635919365,3.071460799,2.638157073
RC211,211,X273614N,NA,NA,NA,3.818573297,4.600541447
RC212,212,X273614N,141,3453,3.923205342,3.107609283,3.433132528
RC213,213,X273614N,8,1814,0.439077936,3.678273877,3.951196764
RC214,214,X273614N,28,2818,0.983836964,2.874627363,2.924831397
RC215,215,X273614N,97,2481,3.762606672,3.397281447,3.153109024
RC216,216,X273614N,371,4233,8.058210252,3.566997483,3.447060193
RC217,217,X273614N,7,1579,0.441361917,2.072231399,2.958901763
RC218,218,X273614N,42,1690,2.424942263,4.055766861,4.540746964
RC219,219,X273614N,334,3813,8.054014951,3.41898285,3.708914915
RC220,220,X273614N,4,559,0.710479574,2.024208091,2.73685503
RC221,221,X273614N,91,1988,4.377104377,3.415483799,3.117958772
RC222,222,X273614N,40,1377,2.822865208,3.248113021,2.79459043
RC223,223,X273614N,NA,NA,NA,2.832179093,3.66455199
RC224,224,X273614N,262,3579,6.821140328,3.151012749,3.592785163
RC225,225,X273614N,137,4354,3.050545536,3.661622389,3.753776352
RC226,226,X273614N,180,2358,7.092198582,3.297267476,3.396911596
RC227,227,X273614N,58,3724,1.533580116,4.122038982,4.278645048
RC228,228,X273614N,35,3434,1.008936293,3.369260635,2.952892414
RC229,229,X273614N,78,2176,3.460514641,3.857666012,3.981188954
RC230,230,X273614N,47,3188,1.452859351,3.962157084,3.953444981
RC231,231,X273614N,224,6035,3.578846461,3.689665185,3.788272256
RC232,232,X273614N,38,2909,1.289446895,3.607330715,3.713687857
RC233,233,X273614N,67,1465,4.373368146,3.859042521,3.864251622
RC234,234,X273614N,207,1638,11.2195122,3.968231874,3.742455124
RC235,235,X273614N,NA,NA,NA,3.150216337,2.681317865
RC236,236,X273614N,115,4283,2.61482492,3.898213067,3.931842567
RC237,237,X273614N,90,3064,2.853519341,4.071966443,3.900030201
RC238,238,X273614N,82,4403,1.828316611,3.92723497,3.85614702
RC239,239,X273614N,119,4630,2.505790693,3.417681337,3.237235337
RC240,240,X273614N,34,2141,1.563218391,3.015025534,3.165187841
RC241,241,X273614N,139,6986,1.950877193,3.993246347,3.926068686
RC242,242,X273614N,377,8331,4.32935232,3.786579419,3.614905511
RC243,243,X273614N,155,2930,5.024311183,2.531334328,3.031114117
RC244,244,X273614N,22,3620,0.604063701,3.409946496,3.609443241
RC245,245,X273614N,35,4310,0.80552359,4.265227149,4.107330344
RC246,246,X273614N,34,1122,2.941176471,4.323359867,4.047288763
RC247,247,X273614N,NA,NA,NA,2.709087551,2.548517109
RC248,248,X273614N,123,1240,9.024211299,3.817120558,3.662420874
RC301,301,X273614N,24,3777,0.631412786,6.454796275,5.482758377
RC302,302,X273614N,89,4454,1.959057891,5.201632184,4.955512972
RC303,303,X273614N,44,3022,1.435094586,4.671493603,4.593879415
RC304,304,X273614N,53,2777,1.872791519,5.274260547,5.240202585
RC305,305,X273614N,150,3791,3.806140573,5.45144285,5.295183725
RC306,306,X273614N,178,4561,3.756066681,5.085569602,4.142817313
RC307,307,X273614N,109,2963,3.548177083,4.142170607,4.831927558
RC308,308,X273614N,64,3405,1.844912078,,
RC309,309,X273614N,0,2703,0,3.894882526,4.668890435
RC310,310,X273614N,91,4434,2.011049724,4.425565857,4.137740618
RC311,311,X273614N,125,3115,3.858024691,4.022517962,4.617381624
RC312,312,X273614N,84,3011,2.714054927,3.852646214,3.747681765
RC313,313,X273614N,67,2623,2.49070632,,
RC314,314,X273614N,52,2871,1.778994184,4.687045815,4.235938726
RC315,315,X273614N,24,2644,0.899550225,4.660412018,4.905906022
RC316,316,X273614N,147,3310,4.252241828,5.439312082,4.292014933
RC317,317,X273614N,89,3765,2.30928905,4.370603169,4.366858693
RC318,318,X273614N,98,3638,2.623126338,4.387216317,4.439055611
RC319,319,X273614N,45,1611,2.717391304,,
RC320,320,X273614N,18,1478,1.203208556,4.43965742,4.775819323
RC321,321,X273614N,206,6276,3.178031472,3.187124733,3.43745603
RC322,322,X273614N,138,3952,3.37408313,4.332453549,4.421373859
RC323,323,X273614N,NA,NA,NA,3.521839393,3.974260501
RC324,324,X273614N,NA,NA,NA,1.780612389,2.166502873
RC325,325,X273614N,14,469,2.898550725,5.305568915,6.256341783
RC326,326,X273614N,335,4502,6.925780442,4.680153713,4.441131342
RC327,327,X273614N,81,2812,2.799861735,5.132066185,5.30140802
RC328,328,X273614N,32,1641,1.91273162,4.914836839,4.817036267
RC329,329,X273614N,132,3006,4.206500956,4.806944488,4.563422457
RC330,330,X273614N,51,1342,3.661162958,4.723934896,5.154255975
RC331,331,X273614N,49,2977,1.619299405,5.04843208,5.664442941
RC332,332,X273614N,73,2883,2.469553451,5.365728034,5.827361009
RC333,333,X273614N,1510,3927,27.77266875,5.192276508,4.402547052
RC334,334,X273614N,136,4486,2.942449156,3.355132885,4.966109899
RC335,335,X273614N,NA,NA,NA,4.84835266,4.653663336
RC336,336,X273614N,NA,NA,NA,3.911671947,4.153540718
RC337,337,X273614N,234,3141,6.933333333,5.338670924,5.951211346
RC338,338,X273614N,178,4747,3.614213198,4.409095068,4.664529256
RC339,339,X273614N,37,1868,1.942257218,0.315533662,0.349500608
RC340,340,X273614N,269,3265,7.611771364,5.133626179,5.627611554
RC341,341,X273614N,27,1931,1.378958121,4.703732477,4.374988016
RC342,342,X273614N,114,4000,2.771025766,5.593390967,5.705407003
RC343,343,X273614N,272,2541,9.669392108,5.586356898,5.713384403
RC344,344,X273614N,NA,NA,NA,4.007472605,4.887258622
RC345,345,X273614N,45,3084,1.438159156,5.602039104,5.845599676
RC346,346,X273614N,56,2019,2.698795181,4.472497705,4.575919815
RC347,347,X273614N,301,6046,4.742397983,4.902102191,4.87239627
RC348,348,X273614N,NA,NA,NA,3.916391166,4.26217958
RC001,1,YPS606,131,2216,5.581593524,4.286087961,4.398542471
RC002,2,YPS606,1,897,0.111358575,3.632497272,4.443961717
RC004,4,YPS606,177,1397,11.24523507,4.833061303,5.026286151
RC005,5,YPS606,2,779,0.256081946,4.088791487,5.108121992
RC007,7,YPS606,20,1116,1.76056338,5.551756123,4.894284974
RC008,8,YPS606,93,1053,8.115183246,4.686399329,4.414919504
RC009,9,YPS606,182,1185,13.3138259,2.835201874,2.878692355
