StrainID,Nuclear,Mito,og_v_syn,Assay,Plate,Petite,Grande,Total,Petfreq,Pet.mean,Pet.median
BY4741,parent,BY4741,original,fluccuation,6F,31,53,84,36.9047619,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6G,31,49,80,38.75,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6H,12,45,57,21.05263158,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6I,25,100,125,20,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6J,43,101,144,29.86111111,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6K,35,89,124,28.22580645,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6L,43,107,150,28.66666667,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6M,29,40,69,42.02898551,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6N,29,52,81,35.80246914,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6O,22,61,83,26.5060241,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6P,26,70,96,27.08333333,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6Q,30,63,93,32.25806452,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6R,37,77,114,32.45614035,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6S,44,47,91,48.35164835,30.45553444,29.05722327
BY4741,parent,BY4741,original,fluccuation,6T,16,69,85,18.82352941,30.45553444,29.05722327
YGR229C,smi1D,BY4741,original,fluccuation,3A,6,21,27,22.22222222,30.4287337,27.27272727
YGR229C,smi1D,BY4741,original,fluccuation,3B,9,16,25,36,30.4287337,27.27272727
YGR229C,smi1D,BY4741,original,fluccuation,3C,20,41,61,32.78688525,30.4287337,27.27272727
YGR229C,smi1D,BY4741,original,fluccuation,3D,9,24,33,27.27272727,30.4287337,27.27272727
YGR229C,smi1D,BY4741,original,fluccuation,3E,10,37,47,21.27659574,30.4287337,27.27272727
YGR229C,smi1D,BY4741,original,fluccuation,3F,12,35,47,25.53191489,30.4287337,27.27272727
YGR229C,smi1D,BY4741,original,fluccuation,3G,7,13,20,35,30.4287337,27.27272727
YGR229C,smi1D,BY4741,original,fluccuation,3H,8,36,44,18.18181818,30.4287337,27.27272727
YGR229C,smi1D,BY4741,original,fluccuation,3I,14,21,35,40,30.4287337,27.27272727
YGR229C,smi1D,BY4741,original,fluccuation,3J,12,19,31,38.70967742,30.4287337,27.27272727
YGR229C,smi1D,BY4741,original,fluccuation,3K,2,6,8,25,30.4287337,27.27272727
YGR229C,smi1D,BY4741,original,fluccuation,3L,18,32,50,36,30.4287337,27.27272727
YGR229C,smi1D,BY4741,original,fluccuation,3M,6,16,22,27.27272727,30.4287337,27.27272727
YGR229C,smi1D,BY4741,original,fluccuation,3N,15,41,56,26.78571429,30.4287337,27.27272727
YGR229C,smi1D,BY4741,original,fluccuation,3O,6,21,27,22.22222222,30.4287337,27.27272727
YGR229C,smi1D,BY4741,original,fluccuation,3P,9,11,20,45,30.4287337,27.27272727
YGR229C,smi1D,BY4741,original,fluccuation,3Q,10,44,54,18.51851852,30.4287337,27.27272727
YGR229C,smi1D,BY4741,original,fluccuation,3R,8,12,20,40,30.4287337,27.27272727
YGR229C,smi1D,BY4741,original,fluccuation,3S,17,18,35,48.57142857,30.4287337,27.27272727
YGR229C,smi1D,BY4741,original,fluccuation,3T,6,21,27,22.22222222,30.4287337,27.27272727
YAR035W,yat1D,BY4741,original,fluccuation,4A,39,99,138,28.26086957,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4B,16,76,92,17.39130435,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4C,43,74,117,36.75213675,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4D,34,84,118,28.81355932,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4E,18,38,56,32.14285714,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4F,19,47,66,28.78787879,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4G,42,104,146,28.76712329,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4H,8,30,38,21.05263158,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4I,33,57,90,36.66666667,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4J,27,53,80,33.75,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4K,15,53,68,22.05882353,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4L,20,39,59,33.89830508,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4M,25,35,60,41.66666667,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4N,33,37,70,47.14285714,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4O,13,52,65,20,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4P,24,38,62,38.70967742,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4Q,36,49,85,42.35294118,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4R,22,52,74,29.72972973,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4S,17,43,60,28.33333333,32.18228913,30.93629344
YAR035W,yat1D,BY4741,original,fluccuation,4T,18,20,38,47.36842105,32.18228913,30.93629344
