StrainID,Nuclear,NucPop,Mito,MitoPop,og_v_syn,Genotype,Petite,Grande,Total,PetFreq
14a1,YJM981,European,YJM981,European,original,MATaura3,3,2841,2844,0.11
ML14x1UA,YJM981,European,YJM981,European,original,MATxura3arg8::URA3,0,331,331,0
ML14x1UA,YJM981,European,YJM981,European,original,MATxura3arg8::URA3,3,333,336,0.89
ML14x1UA,YJM981,European,YJM981,European,original,MATxura3arg8::URA3,0,1451,1451,0
ML28x1UA,YPS128,NorthAmerican,YPS128,Nam,original,MATxura3arg8::URA3,71,3213,3284,2.16
ML28x1UA,YPS128,NorthAmerican,YPS128,Nam,original,MATxura3arg8::URA3,53,2175,2228,2.38
ML28x1UA,YPS128,NorthAmerican,YPS128,Nam,original,MATxura3arg8::URA3,60,2668,2728,2.2
ML27x1UA,YPS606,NorthAmerican,YPS606,Nam,original,MATxura3arg8::URA3,68,1879,1947,3.49
ML27x1UA,YPS606,NorthAmerican,YPS606,Nam,original,MATxura3arg8::URA3,116,2912,3028,3.83
ML27x1UA,YPS606,NorthAmerican,YPS606,Nam,original,MATxura3arg8::URA3,91,2267,2358,3.86
