"Strain" "Nuclear" "Mito"
"1" "RC001" "1" "YPS606"
"2" "RC002" "2" "YPS606"
"4" "RC004" "4" "YPS606"
"5" "RC005" "5" "YPS606"
"7" "RC007" "7" "YPS606"
"8" "RC008" "8" "YPS606"
"9" "RC009" "9" "YPS606"
"10" "RC010" "10" "YPS606"
"11" "RC011" "11" "YPS606"
"12" "RC012" "12" "YPS606"
"13" "RC013" "13" "YPS606"
"14" "RC014" "14" "YPS606"
"16" "RC016" "16" "YPS606"
"18" "RC018" "18" "YPS606"
"20" "RC020" "20" "YPS606"
"22" "RC022" "22" "YPS606"
"23" "RC023" "23" "YPS606"
"24" "RC024" "24" "YPS606"
"25" "RC025" "25" "YPS606"
"26" "RC026" "26" "YPS606"
"28" "RC028" "28" "YPS606"
"29" "RC029" "29" "YPS606"
"30" "RC030" "30" "YPS606"
"32" "RC032" "32" "YPS606"
"34" "RC034" "34" "YPS606"
"35" "RC035" "35" "YPS606"
"36" "RC036" "36" "YPS606"
"37" "RC037" "37" "YPS606"
"38" "RC038" "38" "YPS606"
"39" "RC039" "39" "YPS606"
"40" "RC041" "41" "YPS606"
"41" "RC042" "42" "YPS606"
"42" "RC043" "43" "YPS606"
"43" "RC044" "44" "YPS606"
"44" "RC045" "45" "YPS606"
"45" "RC046" "46" "YPS606"
"46" "RC047" "47" "YPS606"
"47" "RC048" "48" "YPS606"
"49" "RC102" "102" "YPS606"
"50" "RC103" "103" "YPS606"
"51" "RC104" "104" "YPS606"
"52" "RC105" "105" "YPS606"
"53" "RC106" "106" "YPS606"
"54" "RC107" "107" "YPS606"
"55" "RC108" "108" "YPS606"
"56" "RC109" "109" "YPS606"
"58" "RC111" "111" "YPS606"
"59" "RC112" "112" "YPS606"
"60" "RC113" "113" "YPS606"
"61" "RC114" "114" "YPS606"
"62" "RC115" "115" "YPS606"
"64" "RC117" "117" "YPS606"
"65" "RC118" "118" "YPS606"
"66" "RC119" "119" "YPS606"
"67" "RC120" "120" "YPS606"
"68" "RC121" "121" "YPS606"
"70" "RC123" "123" "YPS606"
"71" "RC124" "124" "YPS606"
"72" "RC125" "125" "YPS606"
"73" "RC126" "126" "YPS606"
"74" "RC127" "127" "YPS606"
"76" "RC129" "129" "YPS606"
"78" "RC131" "131" "YPS606"
"79" "RC132" "132" "YPS606"
"80" "RC133" "133" "YPS606"
"81" "RC134" "134" "YPS606"
"82" "RC135" "135" "YPS606"
"83" "RC136" "136" "YPS606"
"84" "RC137" "137" "YPS606"
"86" "RC139" "139" "YPS606"
"87" "RC140" "140" "YPS606"
"88" "RC141" "141" "YPS606"
"89" "RC142" "142" "YPS606"
"90" "RC143" "143" "YPS606"
"91" "RC144" "144" "YPS606"
"92" "RC145" "145" "YPS606"
"93" "RC146" "146" "YPS606"
"97" "RC201" "201" "YPS606"
"98" "RC202" "202" "YPS606"
"99" "RC203" "203" "YPS606"
"101" "RC205" "205" "YPS606"
"102" "RC206" "206" "YPS606"
"103" "RC207" "207" "YPS606"
"104" "RC208" "208" "YPS606"
"105" "RC209" "209" "YPS606"
"106" "RC210" "210" "YPS606"
"108" "RC212" "212" "YPS606"
"109" "RC213" "213" "YPS606"
"110" "RC214" "214" "YPS606"
"111" "RC215" "215" "YPS606"
"112" "RC216" "216" "YPS606"
"113" "RC217" "217" "YPS606"
"114" "RC218" "218" "YPS606"
"115" "RC219" "219" "YPS606"
"117" "RC221" "221" "YPS606"
"118" "RC222" "222" "YPS606"
"120" "RC224" "224" "YPS606"
"123" "RC227" "227" "YPS606"
"124" "RC228" "228" "YPS606"
"125" "RC229" "229" "YPS606"
"126" "RC230" "230" "YPS606"
"127" "RC231" "231" "YPS606"
"128" "RC232" "232" "YPS606"
"129" "RC233" "233" "YPS606"
"130" "RC234" "234" "YPS606"
"132" "RC236" "236" "YPS606"
"133" "RC237" "237" "YPS606"
"135" "RC239" "239" "YPS606"
"136" "RC240" "240" "YPS606"
"137" "RC241" "241" "YPS606"
"138" "RC242" "242" "YPS606"
"139" "RC243" "243" "YPS606"
"140" "RC244" "244" "YPS606"
"141" "RC245" "245" "YPS606"
"142" "RC246" "246" "YPS606"
"144" "RC248" "248" "YPS606"
"145" "RC301" "301" "YPS606"
"146" "RC302" "302" "YPS606"
"147" "RC303" "303" "YPS606"
"148" "RC304" "304" "YPS606"
"149" "RC305" "305" "YPS606"
"150" "RC306" "306" "YPS606"
"151" "RC307" "307" "YPS606"
"152" "RC308" "308" "YPS606"
"153" "RC309" "309" "YPS606"
"154" "RC310" "310" "YPS606"
"155" "RC311" "311" "YPS606"
"156" "RC312" "312" "YPS606"
"157" "RC313" "313" "YPS606"
"158" "RC314" "314" "YPS606"
"159" "RC315" "315" "YPS606"
"160" "RC316" "316" "YPS606"
"161" "RC317" "317" "YPS606"
"162" "RC318" "318" "YPS606"
"164" "RC320" "320" "YPS606"
"165" "RC321" "321" "YPS606"
"166" "RC322" "322" "YPS606"
"169" "RC325" "325" "YPS606"
"170" "RC326" "326" "YPS606"
"171" "RC327" "327" "YPS606"
"172" "RC328" "328" "YPS606"
"173" "RC329" "329" "YPS606"
