Strain	Nuclear	Mito	Petite	Grande
RC001	1	X273614N	11	1128
RC002	2	X273614N	65	1895
RC003	3	X273614N	63	1473
RC004	4	X273614N	271	1873
RC005	5	X273614N	100	587
RC006	6	X273614N	64	832
RC007	7	X273614N	109	1127
RC008	8	X273614N	11	1448
RC009	9	X273614N	126	1619
RC010	10	X273614N	33	731
RC011	11	X273614N	92	2020
RC012	12	X273614N	62	774
RC013	13	X273614N	49	650
RC014	14	X273614N	25	2459
RC015	15	X273614N	273	2340
RC016	16	X273614N	86	2863
RC017	17	X273614N	6	1551
RC018	18	X273614N	41	3285
RC019	19	X273614N	43	491
RC020	20	X273614N	17	1599
RC021	21	X273614N	46	1970
RC022	22	X273614N	16	1594
RC023	23	X273614N	25	682
RC024	24	X273614N	35	1346
RC025	25	X273614N	255	1578
RC026	26	X273614N	69	1903
RC027	27	X273614N	32	1631
RC028	28	X273614N	53	2019
RC029	29	X273614N	21	1231
RC030	30	X273614N	39	1732
RC031	31	X273614N	9	1213
RC032	32	X273614N	60	437
RC033	33	X273614N	33	996
RC034	34	X273614N	62	1954
RC035	35	X273614N	118	1158
RC036	36	X273614N	243	2657
RC037	37	X273614N	37	2366
RC038	38	X273614N	52	1205
RC039	39	X273614N	65	668
RC040	40	X273614N	9	737
RC041	41	X273614N	58	738
RC042	42	X273614N	20	791
RC043	43	X273614N	34	2539
RC044	44	X273614N	19	1121
RC045	45	X273614N	44	1556
RC046	46	X273614N	30	2393
RC047	47	X273614N	46	3085
RC048	48	X273614N	25	695
RC049	49	X273614N	32	1380
RC101	101	X273614N	12	1793
RC102	102	X273614N	95	2528
RC103	103	X273614N	92	1286
RC104	104	X273614N	60	3260
RC105	105	X273614N	29	2544
RC106	106	X273614N	49	3166
RC107	107	X273614N	285	5230
RC108	108	X273614N	216	2763
RC109	109	X273614N	297	3338
RC110	110	X273614N	149	2883
RC111	111	X273614N	57	1811
RC112	112	X273614N	13	360
RC113	113	X273614N	6	1112
RC114	114	X273614N	63	3356
RC115	115	X273614N	30	2241
RC116	116	X273614N	24	1231
RC117	117	X273614N	92	1158
RC118	118	X273614N	4	175
RC119	119	X273614N	30	1619
RC120	120	X273614N	78	2044
RC121	121	X273614N	96	1980
RC122	122	X273614N	88	2946
RC123	123	X273614N	23	4169
RC124	124	X273614N	184	5992
RC125	125	X273614N	60	2006
RC126	126	X273614N	33	3782
RC127	127	X273614N	141	2301
RC128	128	X273614N	28	5109
RC129	129	X273614N	3	434
RC130	130	X273614N	18	5830
RC131	131	X273614N	44	4055
RC132	132	X273614N	24	1702
RC133	133	X273614N	68	3519
RC134	134	X273614N	17	1899
RC135	135	X273614N	78	2923
RC136	136	X273614N	17	4408
RC137	137	X273614N	127	4354
RC138	138	X273614N	136	3017
RC139	139	X273614N	57	2024
RC140	140	X273614N	77	3043
RC141	141	X273614N	54	1410
RC142	142	X273614N	70	2371
RC143	143	X273614N	3	1141
RC144	144	X273614N	56	820
RC145	145	X273614N	108	3531
RC146	146	X273614N	196	1101
RC147	147	X273614N	306	3309
RC148	148	X273614N	20	683
RC149	149	X273614N	325	2243
RC150	150	X273614N	313	5273
RC201	201	X273614N	3	1351
RC202	202	X273614N	127	1151
RC203	203	X273614N	46	1654
RC204	204	X273614N	3	1823
RC205	205	X273614N	28	2513
RC206	206	X273614N	246	2092
RC207	207	X273614N	20	3306
RC208	208	X273614N	48	2401
RC209	209	X273614N	46	1530
RC210	210	X273614N	125	1512
RC211	211	X273614N	22	3218
RC212	212	X273614N	141	3453
RC213	213	X273614N	8	1814
RC214	214	X273614N	28	2818
RC215	215	X273614N	97	2481
RC216	216	X273614N	371	4233
