Strain	Nuclear	Mito	Petite	Grande
RC217	217	X273614N	7	1579
RC218	218	X273614N	42	1690
RC219	219	X273614N	334	3813
RC220	220	X273614N	4	559
RC221	221	X273614N	91	1988
RC222	222	X273614N	40	1377
RC223	223	X273614N	64	3493
RC224	224	X273614N	262	3579
RC225	225	X273614N	137	4354
RC226	226	X273614N	180	2358
RC227	227	X273614N	58	3724
RC228	228	X273614N	35	3434
RC229	229	X273614N	78	2176
RC230	230	X273614N	47	3188
RC231	231	X273614N	224	6035
RC232	232	X273614N	38	2909
RC233	233	X273614N	67	1465
RC234	234	X273614N	207	1638
RC235	235	X273614N	80	2887
RC236	236	X273614N	115	4283
RC237	237	X273614N	90	3064
RC238	238	X273614N	82	4403
RC239	239	X273614N	119	4630
RC240	240	X273614N	34	2141
RC241	241	X273614N	139	6986
RC242	242	X273614N	377	8331
RC243	243	X273614N	155	2930
RC244	244	X273614N	22	3620
RC245	245	X273614N	35	4310
RC246	246	X273614N	34	1122
RC247	247	X273614N	182	4634
RC248	248	X273614N	123	1240
RC249	249	X273614N	79	4896
RC250	250	X273614N	68	2593
RC301	301	X273614N	24	3777
RC302	302	X273614N	89	4454
RC303	303	X273614N	44	3022
RC304	304	X273614N	53	2777
RC305	305	X273614N	150	3791
RC306	306	X273614N	178	4561
RC307	307	X273614N	109	2963
RC308	308	X273614N	64	3405
RC309	309	X273614N	0	2703
RC310	310	X273614N	91	4434
RC311	311	X273614N	125	3115
RC312	312	X273614N	84	3011
RC313	313	X273614N	67	2623
RC314	314	X273614N	52	2871
RC315	315	X273614N	24	2644
RC316	316	X273614N	147	3310
RC317	317	X273614N	89	3765
RC318	318	X273614N	98	3638
RC319	319	X273614N	45	1611
RC320	320	X273614N	18	1478
RC321	321	X273614N	206	6276
RC322	322	X273614N	138	3952
RC323	323	X273614N	16	1800
RC324	324	X273614N	140	1297
RC325	325	X273614N	14	469
RC326	326	X273614N	335	4502
RC327	327	X273614N	81	2812
RC328	328	X273614N	32	1641
RC329	329	X273614N	132	3006
RC330	330	X273614N	51	1342
RC331	331	X273614N	49	2977
RC332	332	X273614N	73	2883
RC333	333	X273614N	1510	3927
RC334	334	X273614N	136	4486
RC335	335	X273614N	183	4348
RC336	336	X273614N	140	3438
RC337	337	X273614N	234	3141
RC338	338	X273614N	178	4747
RC339	339	X273614N	37	1868
RC340	340	X273614N	269	3265
RC341	341	X273614N	27	1931
RC342	342	X273614N	114	4000
RC343	343	X273614N	272	2541
RC344	344	X273614N	83	2243
RC345	345	X273614N	45	3084
RC346	346	X273614N	56	2019
RC347	347	X273614N	301	6046
RC348	348	X273614N	2	195
RC349	349	X273614N	416	10542
RC350	350	X273614N	95	2632
