"Strain" "Nuclear" "Mito"
"1" "RC001" "1" "X273614N"
"2" "RC002" "2" "X273614N"
"3" "RC003" "3" "X273614N"
"4" "RC004" "4" "X273614N"
"5" "RC005" "5" "X273614N"
"7" "RC007" "7" "X273614N"
"8" "RC008" "8" "X273614N"
"9" "RC009" "9" "X273614N"
"10" "RC010" "10" "X273614N"
"11" "RC011" "11" "X273614N"
"12" "RC012" "12" "X273614N"
"13" "RC013" "13" "X273614N"
"14" "RC014" "14" "X273614N"
"15" "RC015" "15" "X273614N"
"16" "RC016" "16" "X273614N"
"17" "RC017" "17" "X273614N"
"18" "RC018" "18" "X273614N"
"19" "RC019" "19" "X273614N"
"20" "RC020" "20" "X273614N"
"21" "RC021" "21" "X273614N"
"22" "RC022" "22" "X273614N"
"23" "RC023" "23" "X273614N"
"24" "RC024" "24" "X273614N"
"25" "RC025" "25" "X273614N"
"26" "RC026" "26" "X273614N"
"27" "RC027" "27" "X273614N"
"28" "RC028" "28" "X273614N"
"29" "RC029" "29" "X273614N"
"30" "RC030" "30" "X273614N"
"31" "RC031" "31" "X273614N"
"32" "RC032" "32" "X273614N"
"33" "RC033" "33" "X273614N"
"34" "RC034" "34" "X273614N"
"35" "RC035" "35" "X273614N"
"36" "RC036" "36" "X273614N"
"37" "RC037" "37" "X273614N"
"38" "RC038" "38" "X273614N"
"39" "RC039" "39" "X273614N"
"40" "RC041" "41" "X273614N"
"41" "RC042" "42" "X273614N"
"42" "RC043" "43" "X273614N"
"43" "RC044" "44" "X273614N"
"44" "RC045" "45" "X273614N"
"45" "RC046" "46" "X273614N"
"46" "RC047" "47" "X273614N"
"47" "RC048" "48" "X273614N"
"48" "RC049" "49" "X273614N"
"49" "RC102" "102" "X273614N"
"50" "RC103" "103" "X273614N"
"51" "RC104" "104" "X273614N"
"52" "RC105" "105" "X273614N"
"53" "RC106" "106" "X273614N"
"54" "RC107" "107" "X273614N"
"55" "RC108" "108" "X273614N"
"56" "RC109" "109" "X273614N"
"57" "RC110" "110" "X273614N"
"58" "RC111" "111" "X273614N"
"59" "RC112" "112" "X273614N"
"60" "RC113" "113" "X273614N"
"61" "RC114" "114" "X273614N"
"62" "RC115" "115" "X273614N"
"63" "RC116" "116" "X273614N"
"64" "RC117" "117" "X273614N"
"65" "RC118" "118" "X273614N"
"66" "RC119" "119" "X273614N"
"67" "RC120" "120" "X273614N"
"68" "RC121" "121" "X273614N"
"69" "RC122" "122" "X273614N"
"70" "RC123" "123" "X273614N"
"71" "RC124" "124" "X273614N"
"72" "RC125" "125" "X273614N"
"73" "RC126" "126" "X273614N"
"74" "RC127" "127" "X273614N"
"75" "RC128" "128" "X273614N"
"76" "RC129" "129" "X273614N"
"77" "RC130" "130" "X273614N"
"78" "RC131" "131" "X273614N"
"79" "RC132" "132" "X273614N"
"80" "RC133" "133" "X273614N"
"81" "RC134" "134" "X273614N"
"82" "RC135" "135" "X273614N"
"83" "RC136" "136" "X273614N"
"84" "RC137" "137" "X273614N"
"85" "RC138" "138" "X273614N"
"86" "RC139" "139" "X273614N"
"87" "RC140" "140" "X273614N"
"88" "RC141" "141" "X273614N"
"89" "RC142" "142" "X273614N"
"90" "RC143" "143" "X273614N"
"91" "RC144" "144" "X273614N"
"92" "RC145" "145" "X273614N"
"93" "RC146" "146" "X273614N"
"94" "RC147" "147" "X273614N"
"95" "RC148" "148" "X273614N"
"96" "RC149" "149" "X273614N"
"97" "RC201" "201" "X273614N"
"98" "RC202" "202" "X273614N"
"99" "RC203" "203" "X273614N"
"100" "RC204" "204" "X273614N"
"101" "RC205" "205" "X273614N"
"102" "RC206" "206" "X273614N"
"103" "RC207" "207" "X273614N"
"104" "RC208" "208" "X273614N"
"105" "RC209" "209" "X273614N"
"106" "RC210" "210" "X273614N"
"108" "RC212" "212" "X273614N"
"109" "RC213" "213" "X273614N"
"110" "RC214" "214" "X273614N"
"111" "RC215" "215" "X273614N"
"112" "RC216" "216" "X273614N"
"113" "RC217" "217" "X273614N"
"114" "RC218" "218" "X273614N"
"115" "RC219" "219" "X273614N"
"116" "RC220" "220" "X273614N"
"117" "RC221" "221" "X273614N"
"118" "RC222" "222" "X273614N"
"120" "RC224" "224" "X273614N"
"121" "RC225" "225" "X273614N"
"122" "RC226" "226" "X273614N"
"123" "RC227" "227" "X273614N"
"124" "RC228" "228" "X273614N"
"125" "RC229" "229" "X273614N"
"126" "RC230" "230" "X273614N"
"127" "RC231" "231" "X273614N"
"128" "RC232" "232" "X273614N"
"129" "RC233" "233" "X273614N"
"130" "RC234" "234" "X273614N"
"132" "RC236" "236" "X273614N"
"133" "RC237" "237" "X273614N"
"134" "RC238" "238" "X273614N"
"135" "RC239" "239" "X273614N"
"136" "RC240" "240" "X273614N"
"137" "RC241" "241" "X273614N"
"138" "RC242" "242" "X273614N"
"139" "RC243" "243" "X273614N"
"140" "RC244" "244" "X273614N"
"141" "RC245" "245" "X273614N"
"142" "RC246" "246" "X273614N"
"144" "RC248" "248" "X273614N"
"145" "RC301" "301" "X273614N"
"146" "RC302" "302" "X273614N"
"147" "RC303" "303" "X273614N"
"148" "RC304" "304" "X273614N"
"149" "RC305" "305" "X273614N"
"150" "RC306" "306" "X273614N"
"151" "RC307" "307" "X273614N"
"152" "RC308" "308" "X273614N"
"153" "RC309" "309" "X273614N"
"154" "RC310" "310" "X273614N"
"155" "RC311" "311" "X273614N"
"156" "RC312" "312" "X273614N"
"157" "RC313" "313" "X273614N"
"158" "RC314" "314" "X273614N"
"159" "RC315" "315" "X273614N"
"160" "RC316" "316" "X273614N"
"161" "RC317" "317" "X273614N"
"162" "RC318" "318" "X273614N"
"163" "RC319" "319" "X273614N"
"164" "RC320" "320" "X273614N"
"165" "RC321" "321" "X273614N"
"166" "RC322" "322" "X273614N"
"169" "RC325" "325" "X273614N"
"170" "RC326" "326" "X273614N"
"171" "RC327" "327" "X273614N"
"172" "RC328" "328" "X273614N"
"173" "RC329" "329" "X273614N"
"174" "RC330" "330" "X273614N"
"175" "RC331" "331" "X273614N"
"176" "RC332" "332" "X273614N"
"177" "RC333" "333" "X273614N"
"178" "RC334" "334" "X273614N"
"181" "RC337" "337" "X273614N"
"182" "RC338" "338" "X273614N"
"183" "RC339" "339" "X273614N"
"184" "RC340" "340" "X273614N"
"185" "RC341" "341" "X273614N"
"186" "RC342" "342" "X273614N"
"187" "RC343" "343" "X273614N"
"189" "RC345" "345" "X273614N"
"190" "RC346" "346" "X273614N"
"191" "RC347" "347" "X273614N"
